Side U
[red   , violet, yellow, violet, yellow, green , green , red   , violet, red   , green ]
[red   , yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, violet]
[yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, green ]
[yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, red   ]
[violet, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow]
[green , yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow]
[red   , yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, violet]
[red   , yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, red   ]
[red   , yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, blue  ]
[blue  , yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow, yellow]
[violet, red   , green , red   , yellow, yellow, red   , red   , yellow, yellow, red   ]
Side F
[yellow, yellow, red   , blue  , blue  , blue  , blue  , blue  , blue  , violet, yellow]
[violet, violet, violet, violet, violet, violet, violet, violet, violet, violet, red   ]
[red   , violet, violet, violet, violet, violet, violet, violet, violet, violet, violet]
[blue  , violet, violet, violet, violet, violet, violet, violet, violet, violet, blue  ]
[violet, violet, violet, violet, violet, violet, violet, violet, violet, violet, green ]
[violet, violet, violet, violet, violet, violet, violet, violet, violet, violet, yellow]
[violet, violet, violet, violet, violet, violet, violet, violet, violet, violet, yellow]
[yellow, violet, violet, violet, violet, violet, violet, violet, violet, violet, yellow]
[green , violet, violet, violet, violet, violet, violet, violet, violet, violet, violet]
[yellow, violet, violet, violet, violet, violet, violet, violet, violet, violet, blue  ]
[white , violet, violet, violet, violet, violet, violet, violet, violet, violet, violet]
Side R
[blue  , green , violet, green , green , violet, green , green , yellow, blue  , violet]
[green , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , violet]
[green , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , red   ]
[violet, blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , green ]
[yellow, blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , green ]
[red   , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  ]
[violet, blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , green ]
[violet, blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , green ]
[blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , yellow]
[red   , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , yellow]
[blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , red   ]
Side B
[yellow, green , green , yellow, violet, violet, blue  , green , violet, green , green ]
[yellow, red   , red   , red   , red   , red   , red   , red   , red   , red   , blue  ]
[blue  , red   , red   , red   , red   , red   , red   , red   , red   , red   , yellow]
[violet, red   , red   , red   , red   , red   , red   , red   , red   , red   , green ]
[red   , red   , red   , red   , red   , red   , red   , red   , red   , red   , blue  ]
[red   , red   , red   , red   , red   , red   , red   , red   , red   , red   , yellow]
[red   , red   , red   , red   , red   , red   , red   , red   , red   , red   , red   ]
[yellow, red   , red   , red   , red   , red   , red   , red   , red   , red   , blue  ]
[violet, red   , red   , red   , red   , red   , red   , red   , red   , red   , red   ]
[red   , red   , red   , red   , red   , red   , red   , red   , red   , red   , blue  ]
[white , red   , red   , red   , red   , red   , red   , red   , red   , red   , red   ]
Side L
[yellow, blue  , blue  , blue  , yellow, red   , yellow, yellow, yellow, violet, blue  ]
[yellow, green , green , green , green , green , green , green , green , green , green ]
[green , green , green , green , green , green , green , green , green , green , blue  ]
[yellow, green , green , green , green , green , green , green , green , green , yellow]
[red   , green , green , green , green , green , green , green , green , green , blue  ]
[green , green , green , green , green , green , green , green , green , green , blue  ]
[yellow, green , green , green , green , green , green , green , green , green , blue  ]
[violet, green , green , green , green , green , green , green , green , green , violet]
[yellow, green , green , green , green , green , green , green , green , green , red   ]
[yellow, green , green , green , green , green , green , green , green , green , green ]
[green , green , green , green , green , green , green , green , green , green , violet]
Side D
[green , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , blue  ]
22687310
