Side U
[green , yellow, red   , red   , yellow, yellow, violet, red   , red   , red   , red   ]
[yellow, green , yellow, red   , yellow, blue  , green , violet, violet, yellow, blue  ]
[violet, yellow, red   , yellow, red   , violet, violet, blue  , green , blue  , violet]
[red   , red   , violet, yellow, yellow, yellow, yellow, yellow, green , red   , red   ]
[green , red   , violet, yellow, yellow, yellow, yellow, yellow, green , yellow, red   ]
[green , green , red   , yellow, yellow, yellow, yellow, yellow, green , blue  , yellow]
[yellow, green , green , yellow, yellow, yellow, yellow, yellow, green , violet, yellow]
[violet, yellow, blue  , yellow, yellow, yellow, yellow, yellow, red   , violet, red   ]
[red   , green , blue  , red   , blue  , yellow, yellow, green , violet, green , blue  ]
[blue  , red   , red   , green , violet, violet, green , red   , yellow, violet, blue  ]
[red   , red   , violet, yellow, violet, green , red   , red   , blue  , violet, violet]
Side F
[yellow, yellow, green , blue  , yellow, red   , yellow, yellow, yellow, green , blue  ]
[violet, red   , red   , green , green , violet, yellow, yellow, violet, violet, red   ]
[red   , yellow, green , green , violet, violet, green , yellow, blue  , blue  , violet]
[blue  , blue  , yellow, violet, violet, violet, violet, violet, violet, blue  , blue  ]
[violet, violet, violet, violet, violet, violet, violet, violet, red   , blue  , green ]
[violet, red   , red   , violet, violet, violet, violet, violet, green , green , yellow]
[violet, red   , blue  , violet, violet, violet, violet, violet, blue  , red   , yellow]
[yellow, blue  , yellow, violet, violet, violet, violet, violet, violet, yellow, yellow]
[yellow, yellow, yellow, green , red   , violet, violet, violet, red   , blue  , violet]
[yellow, green , blue  , red   , red   , blue  , red   , blue  , green , red   , blue  ]
[white , violet, violet, violet, violet, violet, violet, violet, violet, violet, violet]
Side R
[yellow, violet, yellow, blue  , blue  , blue  , blue  , blue  , blue  , violet, yellow]
[green , yellow, yellow, green , green , violet, green , green , red   , yellow, violet]
[green , green , blue  , yellow, green , blue  , yellow, red   , violet, violet, red   ]
[violet, red   , red   , blue  , blue  , blue  , blue  , blue  , violet, violet, green ]
[yellow, green , green , blue  , blue  , blue  , blue  , blue  , yellow, violet, green ]
[red   , violet, yellow, blue  , blue  , blue  , blue  , blue  , yellow, red   , blue  ]
[violet, violet, red   , blue  , blue  , blue  , blue  , blue  , red   , violet, green ]
[violet, green , green , blue  , blue  , blue  , blue  , blue  , violet, yellow, green ]
[blue  , blue  , green , green , red   , yellow, blue  , blue  , violet, green , yellow]
[red   , blue  , red   , blue  , blue  , yellow, blue  , violet, red   , green , yellow]
[blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , blue  , red   ]
Side B
[blue  , green , green , green , green , violet, green , green , green , violet, violet]
[yellow, violet, green , violet, blue  , red   , green , blue  , violet, green , blue  ]
[blue  , yellow, red   , yellow, blue  , green , red   , blue  , green , violet, yellow]
[violet, red   , blue  , red   , red   , red   , red   , red   , red   , violet, green ]
[red   , yellow, green , red   , red   , red   , red   , red   , green , yellow, blue  ]
[red   , green , blue  , red   , red   , red   , red   , red   , red   , blue  , yellow]
[red   , violet, violet, red   , red   , red   , red   , red   , yellow, yellow, red   ]
[yellow, yellow, red   , red   , red   , red   , red   , red   , yellow, green , blue  ]
[violet, green , yellow, green , violet, violet, red   , red   , red   , blue  , yellow]
[red   , violet, blue  , violet, blue  , yellow, yellow, yellow, red   , blue  , blue  ]
[white , red   , red   , red   , red   , red   , red   , red   , red   , red   , red   ]
Side L
[yellow, green , yellow, yellow, violet, violet, blue  , green , yellow, red   , green ]
[yellow, blue  , violet, yellow, red   , red   , blue  , blue  , red   , yellow, green ]
[green , yellow, yellow, red   , violet, green , blue  , green , blue  , blue  , blue  ]
[yellow, green , yellow, green , green , green , green , green , blue  , green , yellow]
[red   , yellow, yellow, green , green , green , green , green , yellow, red   , blue  ]
[green , yellow, blue  , green , green , green , green , green , blue  , green , blue  ]
[yellow, blue  , blue  , green , green , green , green , green , blue  , blue  , blue  ]
[violet, blue  , blue  , green , green , green , green , green , violet, yellow, violet]
[green , red   , violet, blue  , yellow, red   , yellow, violet, yellow, green , red   ]
[yellow, blue  , violet, violet, red   , yellow, violet, red   , violet, red   , green ]
[green , green , green , green , green , green , green , green , green , green , violet]
Side D
[green , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , white ]
[white , white , white , white , white , white , white , white , white , white , blue  ]
13841730
