Side U
[blue  , yellow, red   , green , blue  , yellow, red   , red   , green , yellow, red   ]
[blue  , white , white , white , blue  , white , blue  , white , white , white , blue  ]
[red   , white , white , white , white , white , white , white , white , white , white ]
[yellow, white , white , white , white , white , white , white , white , white , violet]
[violet, white , white , white , white , white , white , white , white , white , violet]
[yellow, white , white , white , white , white , white , white , white , white , red   ]
[yellow, white , white , white , white , white , white , white , white , white , white ]
[yellow, white , white , white , white , white , white , white , white , white , white ]
[violet, white , white , white , white , white , white , white , white , white , violet]
[violet, white , white , white , red   , blue  , white , violet, white , white , green ]
[white , green , white , red   , violet, violet, green , yellow, blue  , green , blue  ]
Side F
[green , white , green , blue  , blue  , blue  , yellow, green , violet, white , violet]
[blue  , yellow, yellow, blue  , red   , green , green , violet, red   , violet, white ]
[yellow, blue  , violet, red   , blue  , red   , violet, red   , blue  , red   , yellow]
[violet, blue  , blue  , blue  , yellow, red   , blue  , green , green , yellow, green ]
[violet, violet, green , red   , blue  , red   , red   , green , violet, yellow, yellow]
[blue  , blue  , blue  , violet, red   , red   , yellow, blue  , violet, yellow, violet]
[white , violet, blue  , blue  , yellow, green , blue  , violet, blue  , green , red   ]
[white , green , red   , red   , blue  , red   , yellow, violet, yellow, blue  , yellow]
[red   , green , violet, yellow, red   , yellow, blue  , violet, yellow, yellow, red   ]
[blue  , green , red   , green , red   , violet, green , yellow, violet, blue  , yellow]
[green , red   , white , blue  , white , white , red   , blue  , violet, red   , yellow]
Side R
[white , red   , green , red   , red   , yellow, blue  , white , blue  , white , white ]
[red   , red   , violet, green , blue  , red   , violet, violet, red   , violet, red   ]
[violet, yellow, green , yellow, violet, green , red   , violet, violet, blue  , blue  ]
[violet, blue  , blue  , violet, violet, yellow, green , red   , red   , red   , blue  ]
[green , red   , green , blue  , yellow, blue  , blue  , green , blue  , green , violet]
[green , violet, violet, blue  , green , blue  , red   , violet, green , violet, red   ]
[blue  , violet, yellow, yellow, violet, green , green , yellow, red   , yellow, yellow]
[violet, blue  , blue  , yellow, green , red   , yellow, yellow, yellow, violet, red   ]
[yellow, green , green , green , green , violet, red   , red   , yellow, blue  , red   ]
[blue  , blue  , green , red   , yellow, yellow, violet, blue  , blue  , green , violet]
[red   , green , yellow, blue  , green , blue  , white , blue  , red   , white , red   ]
Side B
[green , violet, white , white , green , green , white , yellow, white , red   , yellow]
[yellow, yellow, yellow, violet, green , green , yellow, blue  , blue  , green , yellow]
[white , violet, red   , yellow, green , yellow, violet, violet, green , violet, blue  ]
[violet, yellow, blue  , green , violet, red   , red   , red   , blue  , green , violet]
[yellow, violet, blue  , violet, red   , red   , green , red   , violet, violet, white ]
[white , blue  , red   , yellow, violet, violet, violet, yellow, blue  , green , red   ]
[blue  , yellow, green , violet, red   , violet, green , red   , green , violet, yellow]
[green , red   , violet, green , green , green , blue  , yellow, red   , yellow, white ]
[white , violet, yellow, violet, blue  , red   , red   , yellow, blue  , yellow, blue  ]
[yellow, red   , red   , violet, red   , red   , red   , yellow, green , violet, violet]
[yellow, green , yellow, violet, blue  , white , violet, yellow, white , green , white ]
Side L
[violet, white , green , red   , green , violet, red   , blue  , green , white , violet]
[blue  , blue  , red   , green , blue  , red   , yellow, green , violet, green , red   ]
[red   , blue  , red   , violet, yellow, blue  , blue  , blue  , yellow, blue  , blue  ]
[green , green , green , blue  , red   , green , blue  , violet, blue  , yellow, white ]
[green , blue  , yellow, red   , blue  , violet, violet, blue  , red   , yellow, white ]
[green , green , green , violet, blue  , green , blue  , violet, yellow, violet, yellow]
[red   , blue  , violet, red   , yellow, blue  , yellow, yellow, red   , white , blue  ]
[green , blue  , green , yellow, violet, green , green , red   , green , green , blue  ]
[yellow, red   , red   , red   , yellow, blue  , red   , green , blue  , green , yellow]
[blue  , violet, yellow, yellow, green , yellow, red   , red   , green , red   , red   ]
[blue  , yellow, green , green , blue  , blue  , yellow, red   , yellow, violet, violet]
Side D
[yellow, green , violet, violet, green , violet, green , white , blue  , white , blue  ]
[blue  , yellow, yellow, red   , red   , white , blue  , red   , violet, yellow, violet]
[green , green , violet, green , green , yellow, violet, green , blue  , red   , violet]
[green , yellow, yellow, green , blue  , blue  , violet, violet, yellow, white , red   ]
[violet, white , yellow, yellow, violet, green , violet, green , yellow, yellow, violet]
[white , blue  , green , yellow, yellow, yellow, yellow, green , red   , yellow, red   ]
[yellow, white , green , red   , green , yellow, red   , green , violet, blue  , red   ]
[white , violet, violet, blue  , yellow, blue  , violet, blue  , red   , red   , yellow]
[red   , blue  , green , violet, yellow, violet, yellow, blue  , red   , green , blue  ]
[green , red   , violet, red   , green , red   , green , violet, yellow, blue  , violet]
[red   , violet, violet, red   , white , green , red   , yellow, green , yellow, green ]
4126658
